"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Participants,Union,"Unit Sought",Voters
R,"Region 03, Buffalo, New York",03-RD-233382,"Central Solution Staffing, LLC",Closed,12/31/2018,01/03/2019,"Withdrawal Non-adjusted",Cortland,NY,12,"Employer, Legal Representative, Lanouette Dawn, Hinman, Howard & Kattell LLP, PO Box 5250, Binghamton, NY, 13902-5250, (607)723-5341
Involved Party, Legal Representative, McNeil Susan, Satter Ruhlen Law Firm, PLLC, 217 S. Salina St., 6th Fl., Syracuse, NY, 13202-1501, (315)471-0405
Employer, Employer, Central Care Solutions LLC, Linden, NJ, 07036-1506, (908)912-2700
Involved Party, Union, 1199 SEIU, Syracuse, NY, 13203-2998
Petitioner, Individual
",,"Included:  All house keeping of Crown Park Nursing and Rehabilitation Cortland, NY.

Excluded:  All other employees, Guards and Supervisors as defined in the Act.",
R,"Region 21, Los Angeles, California",21-RC-233440,"Certified Alloy Products, Inc.",Closed,12/31/2018,02/13/2019,"Certification of Results","Long Beach",CA,135,"Employer, Legal Representative, ROBBINS ATTN.: MARK, Littler Mendelson P.C., 2049 Century Park East Ste 700, Los Angeles, CA, 90067-3109, (310)553-0308
Petitioner, Legal Representative, Phillips Wendell, Phillips & Rickards, 33173 Mulholland Hwy, Malibu, CA, 90265-2434, (818)874-9488
Employer, Employer, Certified Alloy Products, Inc., Long Beach, CA, 90801-0090, (562)595-6621
Petitioner, Union, United Alloy Workers of Long Beach, Long Beach, CA, 90806-2458, (562)666-2174
",,"Included: Metal Alloy Workers - All Full Time & Regular Part Time Production Employees and Drivers including Temp-To-Hire 

Excluded: All other employees, office clerical, managerial, supervisors and guards as defined in the Act",83
R,"Region 13, Chicago, Illinois",13-RC-233420,"Civitas Schools, LLC",Closed,12/31/2018,01/22/2019,"Withdrawal Non-adjusted",Chicago,IL,42,"Employer, Legal Representative, Goldberg Andrew, Laner Muchin, Ltd., 888 Old Country Road, Plainview, NY, 11803, (312)476-9800
Petitioner, Legal Representative, Auerbach Melissa, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich LLP, 8 S. Michigan Avenue, Suite 1900, Chicago, IL, 60603-3315, (312)372-1361
Employer, Employer, Civitas Schools, LLC, Chicago, IL, 60659, (312)733-6790
Employer, Employer, Civitas Schools, LLC, Chicago, IL, 60652-2716, (312)733-6790
Employer, Employer, Civitas Schools, LLC, Chicago, IL, 60620-4557
Employer, Employer, Civitas Schools, LLC, Chicago, IL, 60607, (312)733-6790
Petitioner, Union, Chicago Teachers Union, Local 1, AFT/IFT, AFL-CIO, Chicago, IL, 60612-2401
",,"Included:  All full-time and regular part-time Instructional Professionals (including Paraprofessionals, Instructional Assistants, Proctors, Aides and Classroom Helpers) and Culture Specialists employed by the Employer at the CICS Wrightwood Campus, currently located 8130 S. California Ave., Chicago, IL 60652; CICS Ralph Ellison Campus, currently located at 1817 W. 80th St., Chicago, IL 60620; and CICS Northtown Academy, 3900 W. Peterson Ave., Chicago, IL  60659.  Excluded: supervisors and guards as defined by the Act and All other employees.",
R,"Region 18, Minneapolis, Minnesota",18-RC-233335,"PEARL VALLEY REHABILITATION AND NURSING AT PERRY, LLC",Closed,12/28/2018,01/30/2019,"Certification of Results",Perry,IA,39,"Employer, Employer, PEARL VALLEY REHABILITATION AND NURSING AT PERRY, LLC, Perry, IA, 50220-2497, (732)806-5352
Petitioner, Union, UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION, LOCAL 431, Davenport, IA, 52804, (563)370-6062
",,"Included: RNs, LPNs, CMAs, CNAs, DIETARY COOKs, NURSES AIDS, DIETARY AIDS, LAUNDRY AND HOUSEKEEPER. Excluded: ADMINISTRATOR, OFFICE CLERICAL, GUARDS AND SUPERVISORS.",25
R,"Region 04, Philadelphia, Pennsylvania",04-RC-233383,"Aqua Pennsylvania Wastewater, Inc.",Closed,12/28/2018,01/31/2019,"Certific. of Representative","West Chester",PA,8,"Employer, Legal Representative, Hackett David, Cozen O'Connor, One Liberty Place, 1650 Market Street, Suite 2800, Philadelphia, PA, 19103, (215)665-7235
Petitioner, Legal Representative, Agre Louis, IUOE Local 542, 1375 Virginia Drive, Fort Washington, PA, 19034, (215)542-7500
Employer, Employer, Aqua Pennsylvania Wastewater, Inc., Bryn Mawr, PA, 19010-3489
Petitioner, Union, International Union of Operating Engineers Local 542, AFL-CIO, Townsend, DE, 19734, (215)542-7500
","International Union of Operating Engineers Local 542, AFL-CIO","Included: See Attached Excluded: All other employees, office clerical employees, confidential employees, professional employees, managerial employees, guards, and supervisors as defined in the Act.",10
R,"Region 18, Minneapolis, Minnesota",18-RD-233364,"Fargo Glass & Paint Company",Closed,12/28/2018,01/31/2019,"Certific. of Representative",Fargo,ND,50,"Employer, Additional Service, MARTINSON DAN, FARGO GLASS & PAINT COMPANY, 1801 7th Ave N, Fargo, ND, 58102-3203, (701)235-4441
Employer, Additional Service, HAIDER JOE, FARGO GLASS & PAINT COMPANY, 1811 20th Ave SE, Minot, ND, 58702, (701)852-3576
Employer, Legal Representative, Thompson Seth, Vogel Law Firm, 200 N 3rd St Ste 201, Bismarck, ND, 58501-3879, (701)258-7899
Involved Party, Union, International Brotherhood of Teamsters, Local 120, BLAINE, MN, 55434, (701)365-4070
Involved Party, Union, TEAMSTERS LOCAL 638 AND INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 120, BISMARCK, ND, 58504
Employer, Employer, FARGO GLASS & PAINT COMPANY, Fargo, ND, 58108, (701)235-4441
Petitioner, Individual
Involved Party, Union, TEAMSTERS LOCAL 638, Bismarck, ND, 58504-6960, (701)229-6943
","TEAMSTERS LOCAL 638 AND INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 120","Included: Glazers, Helpers, and Warehousemen employed by the employer at Fargo and Minot Operations
Excluded: All other employees, office clerical, guards, managers, and supervisors as defined in the Act.",53
R,"Region 25, Indianapolis, Indiana",25-RD-233363,"Norag Port of Evansville",Closed,12/28/2018,05/15/2019,"Withdrawal Non-adjusted",Evansville,IN,4,"Employer, Additional Service, Pace David, NORAG LLC, PO Box 412, Stilwell, KS, 66085-0412
Involved Party, Legal Representative, Morris Samuel, 50 N. Front Street, Suite 800, Memphis, TN, 38173-0290, (901)528-1702
Involved Party, Union, Chauffeurs, Teamsters and Helpers Local Union No. 215, Evansville, IN, 47706-1040, (812)424-6471
Petitioner, Individual
Employer, Employer, Norag Port of Evansville, Evansville, IN, 47712, (812)425-7152
",,"No bargaining unit specified on the petition.
",
R,"Region 04, Philadelphia, Pennsylvania",04-RC-233400,"Aqua Pennsylvania Wastewater, Inc.",Closed,12/28/2018,01/31/2019,"Certific. of Representative",Royersford,PA,4,"Employer, Legal Representative, Hackett David, Cozen O'Connor, One Liberty Place, 1650 Market St, Suite 2800, Philadelphia, PA, 19103-7301, (215)665-7235
Petitioner, Legal Representative, Agre Lou, International Union of Operating Engineers Local 542 a/w International Union of Operating Engineers, AFL-CIO, CLC, 1375 Virgina Drive, Suite 100, Fort Washington pa, PA, 19034, (215)542-7500
Employer, Employer, Aqua Pennsylvania Wastewater, Inc., Bryn Mawr, PA, 19010-3489, (610)525-1400
Petitioner, Union, International Union of Operating Engineers Local 542, AFL-CIO, Fort Washington, PA, 19034, (215)542-7500
","International Union of Operating Engineers Local 542, AFL-CIO","Included: plant Operators (facility)plant coordinators (facility) at either 529 king rd royersford pa, 19468 or 182 longview rd linfield pa, 19468 Excluded: All other Employees, Office Clerical employees, confidential Employess, Professional Employees, Managerial Employees, Guards, and Supervisors as defined in the Act.",4
R,"Region 29, Brooklyn, New York",29-RD-233360,"Farmingdale Meat Market",Closed,12/28/2018,01/10/2019,"Withdrawal Non-adjusted",Farmingdale,NY,40,"Intervenor, Legal Representative, Milner Martin, 99 West Hawthorne Avenue, Suite 308, Valley Stream, NY, 11580, (516)561-6622
Employer, Legal Representative, Kaufman Michael, Kaufman Dolowich & Voluck  LLP, 50 Jericho Quadrangle, Suite 300, Jericho, NY, 11753, (516)681-1100
Intervenor, Union, Local 342 United Food Commercial Workers, Addison, TX, 75001, (516)747-5980
Petitioner, Individual
Employer, Employer, Farmingdale Meat Market, Farmingdale, NY, 11735, (516)249-8200
",,"All Employees at this address but excluding ownership.",
R,"Region 15, New Orleans, Louisiana",15-RD-233402,"Lion Oil Company",Closed,12/28/2018,12/02/2019,"Certification of Results","El Dorado",AR,35,"Involved Party, Legal Representative, Fickman Bruce, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC, 60 Boulevard of the Allies, Room 807, Pittsburgh, PA, 15222, (412)562-2540
Employer, Legal Representative, Hart Jeremiah, Baker & Hostetler, LLP, 200 Civic Center Drive, Suite 1200, Columbus, OH, 43215, (614)462-5127
Petitioner, Legal Representative, Scully John, National Right to Work Legal Defense Foundation, Inc., 8001 Braddock Road, Suite 600, Springfield, VA, 22160, (703)770-3347
Employer, Legal Representative, Asensio Michael, BAKER & HOSTETLER LLP, 200 Civic Center Drive,  Suite 1200, Columbus, OH, 43215, (614)462-2622
Involved Party, Legal Representative, Morris Samuel, Godwin, Morris, Laurenzi, & Bloomfield, P.C., 50 N. Front St., Ste. 800 Raymond James Tower, Memphis, TN, 38102-2181, (901)528-1702
Involved Party, Legal Representative, Shapiro Sasha, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, 60 BOULEVARD OF THE ALLIES Room 807, PITTSBURGH, PA, 15222-1209, (412)562-2355
Employer, Employer, Lion Oil Company, El Dorado, AR, 71730, (870)864-1285
Petitioner, Individual
Involved Party, Union, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied-Industrial and Service Workers International Union AFL-CIO/CLC, Pittsburgh, PA, 15222, (412)562-2542
",,"Included:  All Drivers

Excluded:  Office employees and management",34
